net,length_um
_0984_,41.4µm
_0847_,41.385µm
_1395_,41.17µm
read_shift\[13\],40.83µm
_1787_,40.675µm
_1672_,40.62µm
_1754_,40.59µm
_0761_,40.485µm
_1383_,40.44µm
_1553_,40.245µm
net847,40.225µm
_0493_,40.21µm
net838,40.115µm
_0886_,40.09µm
_0865_,39.965µm
_1699_,39.93µm
_1158_,39.79µm
u_mac_1.temp_res\[13\],39.49µm
_0779_,39.45µm
_1283_,39.425µm
_2528_,39.37µm
_1064_,39.365µm
_1175_,39.34µm
u_input_buffer.mem\[25\]\[6\],39.225µm
_1527_,39.03µm
_0541_,38.64µm
u_mac_4.temp_res\[15\],38.59µm
_1138_,38.47µm
_0642_,38.34µm
_1936_,38.31µm
_1236_,38.22µm
_2498_,38.18µm
_0908_,38.04µm
_1464_,37.68µm
_1296_,37.64µm
_0901_,37.505µm
u_mac_3.temp_res\[4\],37.29µm
_1067_,37.1µm
u_input_buffer.mem\[20\]\[3\],37.095µm
u_mac_4.temp_res\[12\],36.975µm
u_mac_1.temp_res\[12\],36.9µm
_2086_,36.86µm
_0434_,36.835µm
net857,36.795µm
_0991_,36.775µm
_0406_,36.73µm
_0850_,36.73µm
_2009_,36.73µm
_0841_,36.705µm
u_mac_3.temp_res\[16\],36.68µm
_0979_,36.54µm
_0825_,36.42µm
clknet_leaf_8_clk_regs,36.4µm
u_input_buffer.mem\[28\]\[6\],36.385µm
u_input_buffer.mem\[5\]\[1\],36.37µm
_2239_,36.32µm
_0766_,36.31µm
_1789_,36.22µm
_1659_,36.195µm
_1599_,36.14µm
_1802_,36.105µm
_2350_,36.02µm
_1379_,36.01µm
_1681_,36µm
_1726_,35.94µm
u_mac_1.temp_res\[7\],35.77µm
res_index\[5\],35.725µm
_1871_,35.61µm
_2160_,35.58µm
_2063_,35.25µm
_2381_,35.1µm
net737,35.055µm
u_input_buffer.mem\[19\]\[5\],35.005µm
_1734_,34.93µm
_2488_,34.81µm
read_index\[1\],34.755µm
